2, 33.84606099128723,			1.3262,1.3154,1.3266,1.3095,1.3234,1.3202,0.006
3, 33.84606099128723,			1.2864,1.3504,2.7474,-0.0971,1.3007,1.2864,0.0559
4, 33.84606099128723,			-0.0014,-2.752,1.3207,1.3248,1.3206,1.3165,0.0004
5, 33.84606099128723,			-4.0718,1.3219,1.3174,1.3245,1.3262,1.3149,0.0005
6, 33.84606099128723,			1.3216,1.3334,1.3157,1.321,1.3241,1.311,-0.0102
7, 33.84606099128723,			-5.511,4.0157,-1.3396,4.0295,-1.2087,2.5339,-0.0003
0, 35.87857985496521,			1.3223,1.3238,1.3243,1.3229,1.3199,1.3245,-0.0037
1, 35.87857985496521,			1.3218,1.322,1.3106,1.3253,1.3208,1.3227,-0.0057
2, 35.87857985496521,			1.3262,1.3154,1.3266,1.3095,1.3234,1.3202,0.006
3, 35.87857985496521,			1.2864,1.3555,2.7423,-0.0971,1.3007,1.2864,0.0559
4, 35.87857985496521,			-0.0065,-2.7418,1.3208,1.3197,1.3206,1.3165,0.0004
5, 35.87857985496521,			-4.0718,1.3168,1.3226,1.3245,1.3262,1.3149,-0.0046
6, 35.87857985496521,			1.3267,1.3232,1.3208,1.3159,1.3292,1.3059,-0.0051
7, 35.87857985496521,			-5.4751,4.0157,-1.3345,4.0295,-1.2138,2.5339,-0.0003
0, 37.900137186050415,			1.3223,1.3238,1.3243,1.3229,1.3199,1.3245,0.0014
1, 37.900137186050415,			1.3269,1.3169,1.3157,1.3253,1.3208,1.3175,-0.0006
2, 37.900137186050415,			1.3262,1.3154,1.3266,1.3146,1.3234,1.3151,0.006
3, 37.900137186050415,			1.2864,1.3555,2.7423,-0.0971,1.3007,1.2864,0.0559
4, 37.900137186050415,			-0.0014,-2.7468,1.3207,1.3248,1.3155,1.3216,0.0004
5, 37.900137186050415,			-4.0718,1.3219,1.3226,1.3245,1.3211,1.3149,0.0005
6, 37.900137186050415,			1.3216,1.3232,1.3208,1.321,1.3292,1.3058,-0.0051
7, 37.900137186050415,			-5.511,4.0105,-1.3345,4.0244,-1.2087,2.5339,-0.0003
